"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15219","TC-PR-01 | Manage Products page loads via sidebar navigation and list is populated","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Products","specs\products.spec.js","",""
"","9102","TC-DL-03 | Valid credentials log user in and DreamLink app is visible on desk","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Login","specs\login.spec.js","",""
"","3425","TC-DL-01 | Landing page loads and shows Proceed to Login button","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Login","specs\login.spec.js","",""
"","4466","TC-DL-04 | Invalid credentials show error on Keycloak page","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Login","specs\login.spec.js","",""
"","10010","TC-ECS-04 | Invalid search displays no matching criteria sets message","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Eligibility Criteria Sets","specs\criteriaSets.spec.js","",""
"","10214","TC-US-03 | Valid email search returns exactly one matching user","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Users","specs\users.spec.js","",""
"","12150","TC-EC-05 | New criterion can be created and appears in the search results","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Eligibility Criteria","specs\eligibilityCriteria.spec.js","",""
"","3957","TC-DL-02 | Clicking Proceed to Login redirects to Keycloak","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Login","specs\login.spec.js","",""
"","9357","TC-DS-05 | Invalid search displays no results message","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - DreamSave Groups","specs\groups.spec.js","",""
"","8439","TC-ECS-03 | Valid search returns exactly one matching criteria set","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Eligibility Criteria Sets","specs\criteriaSets.spec.js","",""
"","9683","TC-EC-03 | Valid search returns exactly one matching criterion","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Eligibility Criteria","specs\eligibilityCriteria.spec.js","",""
"","12533","TC-US-04 | Invalid search keyword displays no results message","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Users","specs\users.spec.js","",""
"","8785","TC-ECS-02 | Criteria Sets list is populated after navigating via tab","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Eligibility Criteria Sets","specs\criteriaSets.spec.js","",""
"","9034","TC-DS-01 | DreamSave Groups list displays 20 records by default","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - DreamSave Groups","specs\groups.spec.js","",""
"","8254","TC-DL-05 | DreamSave Groups page loads and shows logged in user","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Login","specs\login.spec.js","",""
"","9745","TC-DL-06 | Logged in user can successfully log out and is redirected to login page","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Login","specs\login.spec.js","",""
"","9101","TC-US-02 | Clicking the first user navigates to their detail page with a non-empty Full Name","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Users","specs\users.spec.js","",""
"","10173","TC-EC-02 | Clicking the first criterion navigates to its detail page with non-empty Attribute and Group Type","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Eligibility Criteria","specs\eligibilityCriteria.spec.js","",""
"","9110","TC-UP-01 | Logged in user can navigate to their profile and verify Full Name and page title","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - User Profile","specs\userProfile.spec.js","",""
"","10295","TC-ECS-01 | New criteria set can be created with 7 selected criteria and shows success toast","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Eligibility Criteria Sets","specs\criteriaSets.spec.js","",""
"","8100","TC-DS-04 | Search with broad keyword returns multiple results","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - DreamSave Groups","specs\groups.spec.js","",""
"","9516","TC-EC-01 | Eligibility Criteria page loads via sidebar navigation and list is populated","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Eligibility Criteria","specs\eligibilityCriteria.spec.js","",""
"","9822","TC-EC-04 | Invalid search displays no matching criteria message","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Eligibility Criteria","specs\eligibilityCriteria.spec.js","",""
"","13172","TC-DS-03 | Valid search returns exact matching group","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - DreamSave Groups","specs\groups.spec.js","",""
"","9724","TC-DS-02 | Clicking the first group navigates to its detail page with correct group name","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - DreamSave Groups","specs\groups.spec.js","",""
"","8291","TC-US-01 | Users page loads via sidebar navigation and list is populated","chromium","2026-08-25","passed","2026-08-25","DreamLink CRM - Users","specs\users.spec.js","",""
